2023-07-07 135016 | INFO | extract start -----
2023-07-07 135217 | INFO | extract end -----
2023-07-07 135539 | INFO | extract start -----
2023-07-07 135708 | INFO | extract end -----
2023-07-07 152941 | INFO | extract start -----
2023-07-07 153000 | INFO | extract start -----
2023-07-07 153117 | INFO | extract end -----
2023-07-07 164217 | INFO | extract start -----
2023-07-07 164526 | INFO | extract end -----
2023-07-07 164621 | INFO | extract start -----
2023-07-07 164633 | INFO | extract end -----
2023-07-07 164700 | INFO | extract start -----
2023-07-07 164710 | INFO | extract end -----
